,Unnamed: 0,Latitude,Longitude,Timestamp,"Pred: Nov 8, 2019",Collect: Actual Date/Time,Predicted: Actual Date/Time
0,0,27.0716,-24.1535,1573173409,1573196119.3770988,2019-11-07 19:36:49,2019-11-08 01:55:19.377099
1,1,28.4564,-22.7396,1573173439,1573195821.7001595,2019-11-07 19:37:19,2019-11-08 01:50:21.700160
2,2,29.8462,-21.2601,1573173470,1573195476.2028456,2019-11-07 19:37:50,2019-11-08 01:44:36.202846
3,3,31.1935,-19.7612,1573173500,1573195093.2339427,2019-11-07 19:38:20,2019-11-08 01:38:13.233943
4,4,32.5199,-18.2155,1573173530,1573194666.0535276,2019-11-07 19:38:50,2019-11-08 01:31:06.053528
5,5,33.8235,-16.6201,1573173560,1573194193.0519397,2019-11-07 19:39:20,2019-11-08 01:23:13.051940
6,6,35.1235,-14.9439,1573173590,1573193663.264741,2019-11-07 19:39:50,2019-11-08 01:14:23.264741
7,7,36.3754,-13.2385,1573173620,1573193091.9409978,2019-11-07 19:40:20,2019-11-08 01:04:51.940998
8,8,37.5983,-11.4739,1573173651,1573192468.8885918,2019-11-07 19:40:51,2019-11-08 00:54:28.888592
9,9,38.7899,-9.6471,1573173681,1573191792.262832,2019-11-07 19:41:21,2019-11-08 00:43:12.262832
10,10,39.967,-7.7225,1573173711,1573191047.744203,2019-11-07 19:41:51,2019-11-08 00:30:47.744203
11,11,41.0883,-5.7601,1573173741,1573190258.8287003,2019-11-07 19:42:21,2019-11-08 00:17:38.828700
12,12,42.1706,-3.7266,1573173771,1573189413.8103936,2019-11-07 19:42:51,2019-11-08 00:03:33.810394
13,13,43.2108,-1.6195,1573173801,1573188513.939558,2019-11-07 19:43:21,2019-11-07 23:48:33.939558
14,14,44.2223,0.6006,1573173832,1573187545.3453298,2019-11-07 19:43:52,2019-11-07 23:32:25.345330
15,15,45.1686,2.8624,1573173862,1573186544.2968502,2019-11-07 19:44:22,2019-11-07 23:15:44.296850
16,16,46.0635,5.2026,1573173892,1573185501.6719606,2019-11-07 19:44:52,2019-11-07 22:58:21.671961
17,17,46.9171,7.6629,1573173923,1573184407.8285847,2019-11-07 19:45:23,2019-11-07 22:40:07.828585
18,18,47.6979,10.1612,1573173953,1573183309.8966908,2019-11-07 19:45:53,2019-11-07 22:21:49.896691
19,19,48.4285,12.78,1573173983,1573182184.6415007,2019-11-07 19:46:23,2019-11-07 22:03:04.641501
20,20,49.0814,15.4303,1573174013,1573181084.5950792,2019-11-07 19:46:53,2019-11-07 21:44:44.595079
21,21,49.6661,18.1511,1573174044,1573180007.9710548,2019-11-07 19:47:24,2019-11-07 21:26:47.971055
22,22,50.203,21.0773,1573174075,1573178922.9155526,2019-11-07 19:47:55,2019-11-07 21:08:42.915553
23,23,50.638,23.9242,1573174105,1573177951.8682072,2019-11-07 19:48:25,2019-11-07 20:52:31.868207
24,24,50.9961,26.822,1573174135,1573177059.816678,2019-11-07 19:48:55,2019-11-07 20:37:39.816678
25,25,51.2788,29.8104,1573174166,1573176251.2765827,2019-11-07 19:49:26,2019-11-07 20:24:11.276583
26,26,51.4752,32.782,1573174196,1573175566.8081496,2019-11-07 19:49:56,2019-11-07 20:12:46.808150
27,27,51.5893,35.7754,1573174226,1573175002.9704556,2019-11-07 19:50:26,2019-11-07 20:03:22.970456
28,28,51.6204,38.7783,1573174256,1573174566.6010664,2019-11-07 19:50:56,2019-11-07 19:56:06.601066
29,29,51.5666,41.83,1573174287,1573174255.7947862,2019-11-07 19:51:27,2019-11-07 19:50:55.794786
30,30,51.4301,44.8186,1573174317,1573174078.1946075,2019-11-07 19:51:57,2019-11-07 19:47:58.194607
31,31,51.2116,47.7829,1573174347,1573174020.6389625,2019-11-07 19:52:27,2019-11-07 19:47:00.638963
32,32,50.9125,50.7129,1573174377,1573174072.176895,2019-11-07 19:52:57,2019-11-07 19:47:52.176895
33,33,50.5346,53.5986,1573174407,1573174218.7397203,2019-11-07 19:53:27,2019-11-07 19:50:18.739720
